Personality Compositions,Temperature (C),# Egg cases produce
6 Docile,24,1
6 Docile,24,2
6 Docile,24,0
6 Docile,24,1
6 Docile,24,2
6 Docile,24,3
6 Docile,24,2
6 Docile,24,1
6 Docile,24,2
6 Docile,32,3
6 Docile,32,4
6 Docile,32,3
6 Docile,32,4
6 Docile,32,2
6 Docile,32,4
6 Docile,32,4
6 Docile,32,2
6 Docile,32,5
6 Docile,32,3
6 Docile,32,1
3 Docile 3 Aggressive,24,3
3 Docile 3 Aggressive,24,2
3 Docile 3 Aggressive,24,3
3 Docile 3 Aggressive,24,4
3 Docile 3 Aggressive,24,3
3 Docile 3 Aggressive,24,2
3 Docile 3 Aggressive,24,3
3 Docile 3 Aggressive,24,4
3 Docile 3 Aggressive,24,3
3 Docile 3 Aggressive,24,2
3 Docile 3 Aggressive,24,3
3 Docile 3 Aggressive,24,2
3 Docile 3 Aggressive,24,3
3 Docile 3 Aggressive,24,3
3 Docile 3 Aggressive,24,4
3 Docile 3 Aggressive,24,3
3 Docile 3 Aggressive,24,4
3 Docile 3 Aggressive,24,4
3 Docile 3 Aggressive,32,3
3 Docile 3 Aggressive,32,3
3 Docile 3 Aggressive,32,2
3 Docile 3 Aggressive,32,3
3 Docile 3 Aggressive,32,2
3 Docile 3 Aggressive,32,1
3 Docile 3 Aggressive,32,3
3 Docile 3 Aggressive,32,4
3 Docile 3 Aggressive,32,3
3 Docile 3 Aggressive,32,2
3 Docile 3 Aggressive,32,3
3 Docile 3 Aggressive,32,2
3 Docile 3 Aggressive,32,4
3 Docile 3 Aggressive,32,3
3 Docile 3 Aggressive,32,2
3 Docile 3 Aggressive,32,3
3 Docile 3 Aggressive,32,4
3 Docile 3 Aggressive,32,3
3 Docile 3 Aggressive,32,2
3 Docile 3 Aggressive,32,3
3 Docile 3 Aggressive,32,4
3 Docile 3 Aggressive,32,3
6 Aggressive,24,3
6 Aggressive,24,4
6 Aggressive,24,3
6 Aggressive,24,5
6 Aggressive,24,3
6 Aggressive,24,2
6 Aggressive,24,3
6 Aggressive,24,4
6 Aggressive,24,3
6 Aggressive,24,4
6 Aggressive,24,5
6 Aggressive,24,3
6 Aggressive,32,2
6 Aggressive,32,1
6 Aggressive,32,0
6 Aggressive,32,0
6 Aggressive,32,1
6 Aggressive,32,2
